FRAGMENT_ID,FRAGMENT_FORMULA,FRAGMENT_EXACTMASS,FRAGMENT_DESCRIPTION,SMILES,INCHI,INCHIKEY,INSILICO,EMPIRICAL,FRAGMENT_CHARGE,FRAGMENT_RADICAL,EMPIRICAL_CITATION,INSILICO_CITATION
1,CF3,68.9958,trifluoromethanide,F[C-](F)F,InChI=1S/CF3/c2-1(3)4/q-1,NYKUFCUBMAFLFF-UHFFFAOYSA-N,N,Y,N,N,DOI:10.1002/rcm.3274,
2,SO3,79.9579,sulfonate (oxido(dioxo)-?6-sulfanyl) radical,[O-]S(=O)=O,"InChI=1S/HO3S/c1-4(2)3/h(H,1,2,3)/p-1",IYLJUMIQCMKJHF-UHFFFAOYSA-M,N,Y,N,Y,DOI:10.1002/rcm.3274,
3,SO3F,98.9558,sulfurofluoridate,[O-]S(F)(=O)=O,"InChI=1S/FHO3S/c1-5(2,3)4/h(H,2,3,4)/p-1",UQSQSQZYBQSBJZ-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1002/rcm.3274,
4,C2F5,118.9926,"1,1,2,2,2-pentafluoroethan-1-ide",F[C-](F)C(F)(F)F,"InChI=1S/C2F5/c3-1(4)2(5,6)7/q-1",ADQIVSCGHADPRK-UHFFFAOYSA-N,N,Y,N,N,DOI:10.1002/rcm.3274,
5,CF3SO3,148.9531,difluoromethanesulfonate,FC(F)S([O-])(=O)=O,"InChI=1S/CHF2O3S/c2-1(3)7(4,5)6/h(H,4,5,6)/p-1",OOIKVQWOOLNFPY-UHFFFAOYSA-M,N,Y,N,Y,DOI:10.1002/rcm.3274,
6,C3F7,168.9894,"1,1,2,2,3,3,3-heptafluoropropan-1-ide",F[C-](F)C(F)(F)C(F)(F)F,"InChI=1S/C3F7/c4-1(5)2(6,7)3(8,9)10/q-1","InChI=1S/C3F7/c4-1(5)2(6,7)3(8,9)10/q-1",N,Y,N,N,DOI:10.1002/rcm.3274,
7,C2F4SO3,179.9515,"1,1,2,2-tetrafluoroethane-1-sulfonate",FC(F)C(F)(F)S([O-])(=O)=O,"InChI=1S/C2HF4O3S/c3-1(4)2(5,6)10(7,8)9/h(H,7,8,9)/p-1",WJWZCGQRFLQQSO-UHFFFAOYSA-M,N,Y,N,Y,DOI:10.1002/rcm.3274,
8,C4F9,218.9862,"1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide",FC(F)([C-](F)F)C(F)(F)C(F)(F)F,"InChI=1S/C4F9/c5-1(6)2(7,8)3(9,10)4(11,12)13/q-1",XMSMVNGDXHCAIN-UHFFFAOYSA-N,N,Y,N,N,DOI:10.1002/rcm.3274,
9,C3F6SO3,229.9483,"1,1,2,2,3,3-hexafluoropropane-1-sulfonate",FC(F)(C(F)F)C(F)(F)S([O-])(=O)=O,"InChI=1S/C3HF6O3S/c4-1(5)2(6,7)3(8,9)13(10,11)12/h(H,10,11,12)/p-1",LOZXWHMJUDLAOH-UHFFFAOYSA-M,N,Y,N,Y,DOI:10.1002/rcm.3274,
10,C5F11,268.983,"1,1,2,2,3,3,4,4,5,5,5-undecafluoropentan-1-ide",FC(F)(C(F)(F)C(F)(F)F)C(F)(F)[C-](F)F,"InChI=1S/C5F11/c6-1(7)2(8,9)3(10,11)4(12,13)5(14,15)16/q-1",GZVMGGHPRNZYPX-UHFFFAOYSA-N,N,Y,N,N,DOI:10.1002/rcm.3274,
