id,category,name,obtained_from,source_type,additional,local_pos,local_neg,formula,fixedmass,netcharge,inspected_by,inspected_on
1957,2,bis(Perfluorobutylsulfonyl)methylenephenyliodine,https://comptox.epa.gov/dashboard,1,NA,0,0,C15H5F18IO4S2,781.8386566,0,,
1958,2,"1-[Bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methanesulfonyl]-1,1,2,2,3,3,4,4,4-nonafluorobutane",https://comptox.epa.gov/dashboard,1,NA,0,0,C13HF27O6S3,861.8504127,0,,
1959,2,"2-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)-1-phenylethan-1-one",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H7F9O3S,401.9972191,0,,
1960,2,"[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)methyl]benzene",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H7F9O2S,374.0023044,0,,
1961,2,"1,1,1,2,2,3,3,4,4-Nonafluoro-4-[(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methanesulfonyl]butane",https://comptox.epa.gov/dashboard,1,NA,0,0,C9H2F18O4S2,579.9107085,0,,
1962,2,N-[(4-Bromophenyl)oxido(trifluoromethyl)sulfanylidene]perfluorobutanesulfonamide,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H4BrF12NO3S2,568.8624357,0,,
1963,2,"1-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)-1H-benzotriazole",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H4F9N3O2S,400.9880513,0,,
1964,2,"N-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)cyclopent-2-ene-1-carboxamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H8F9NO3S,393.0081181,0,,
1965,2,"N-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)cyclopentanecarboxamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H10F9NO3S,395.0237682,0,,
1966,2,"N-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)cyclohexanecarboxamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H12F9NO3S,409.0394182,0,,
1967,2,"N,N'-(3,4-Dioxocyclobut-1-ene-1,2-diyl)bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide)",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H2F18N2O6S2,675.9066857,0,,
1968,2,"N-Cyclooctyl-1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H16F9NO2S,409.0758037,0,,
1969,2,N-Allylperfluorobutanesulfonamide,https://comptox.epa.gov/dashboard,1,NA,0,0,C7H6F9NO2S,338.9975534,0,,
1970,2,"1-Butanesulfonamide, 1,1,2,2,3,3,4,4,4-nonafluoro-N-(phenylmethyl)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H8F9NO2S,389.0132035,0,,
1971,2,"1,1,2,2,3,3,4,4,4-nonafluoro-N-[(trifluoromethyl)sulfonyl]-1-Butanesulfonamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C5HF12NO4S2,430.9155382,0,,
1972,2,Vinyl nonafluoro-1-butanesulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C6H3F9O3S,325.9659189,0,,
1973,2,Quinolin-8-yl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C13H6F9NO3S,426.992468,0,,
1974,2,4-Cyanophenyl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H4F9NO3S,400.976818,0,,
1975,2,"2,4-Dichlorophenyl nonafluorobutane-1-sulfonate",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H3Cl2F9O3S,443.9036243,0,,
1976,2,Phenyl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H5F9O3S,375.981569,0,,
1977,2,2-Cyanophenyl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H4F9NO3S,400.976818,0,,
1978,2,Cyclopent-1-en-1-yl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C9H7F9O3S,365.9972191,0,,
1979,2,Cyclohex-1-en-1-yl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H9F9O3S,380.0128691,0,,
1980,2,Cyclohept-1-en-1-yl nonafluorobutane-1-sulfonate,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H11F9O3S,394.0285192,0,,
1981,2,"1,2-Ethanediyl bis(perfluorobutanesulfonate)",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H4F18O6S2,625.9161878,0,,
1982,2,"2-[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)oxy]-3a,4,7,7a-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",https://comptox.epa.gov/dashboard,1,NA,0,0,C13H8F9NO5S,460.9979473,0,,
1983,2,Perfluorobutanesulfonic anhydride,https://comptox.epa.gov/dashboard,1,NA,0,0,C8F18O5S2,581.8899731,0,,
1984,2,"[1-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfinyl)ethenyl]benzene",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H7F9OS,370.0073898,0,,
1985,2,"[N(E),S(S)]-N-(4-chlorophenyl)methyleneperfluorobutanesulfinamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H5ClF9NOS,404.9636664,0,,
1986,2,"[N(E),S(S)]-N-phenylmethyleneperfluorobutanesulfinamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H6F9NOS,371.0026388,0,,
