id,name
1,[M]+
2,[M+H]+
3,[M+Na]+
4,[M+K]+
5,[M+NH4]+
6,[M-H2O+H]+
7,[M]-
8,[M-H]-
9,[M-FCO2H]-
10,[2M-H]-
11,[M-2H]-
