atomic_number,exact_mass,abundance
1,1.007825032,0.999885
1,2.014101778,1.15e-4
2,4.002603254,0.99999866
2,3.01602932,1.34e-6
3,7.016003437,0.9241
3,6.015122887,0.0759
4,9.012183065,1
5,11.00930536,0.801
5,10.01293695,0.199
6,12,0.9893
6,13.00335484,0.0107
7,14.003074,0.99636
7,15.0001089,0.00364
8,15.99491462,0.99757
8,17.99915961,0.00205
8,16.99913176,3.8e-4
9,18.99840316,1
10,19.99244018,0.9048
10,21.99138511,0.0925
10,20.99384669,0.0027
11,22.98976928,1
12,23.9850417,0.7899
12,25.98259297,0.1101
12,24.98583698,0.1
13,26.98153853,1
14,27.97692653,0.92223
14,28.97649466,0.04685
14,29.97377014,0.03092
15,30.973762,1
16,31.97207117,0.9499
16,33.967867,0.0425
16,32.97145891,0.0075
16,35.96708071,1e-4
17,34.96885268,0.7576
17,36.9659026,0.2424
18,39.96238312,0.996035
18,35.96754511,0.003336
18,37.96273211,6.29e-4
19,38.96370649,0.932581
19,40.96182526,0.067302
19,39.963998170000004,1.17e-4
20,39.96259086,0.96941
20,43.95548156,0.02086
20,41.95861783,0.00647
20,47.95252276,0.00187
20,42.95876644,0.00135
20,45.953689,4e-5
21,44.95590828,1
22,47.94794198,0.7372
22,45.95262772,0.0825
22,46.95175879,0.0744
22,48.94786568,0.0541
22,49.94478689,0.0518
23,50.94395704,0.9975
23,49.94715601,0.0025
24,51.94050623,0.83789
24,52.94064815,0.09501
24,49.94604183,0.04345
24,53.93887916,0.02365
25,54.93804391,1
26,55.93493633,0.91754
26,53.93960899,0.05845
26,56.93539284,0.02119
26,57.93327443,0.00282
27,58.93319429,1
28,57.93534241,0.68077
28,59.93078588,0.26223
28,61.92834537,0.036346
28,60.93105557,0.011399
28,63.92796682,0.009255
29,62.92959772,0.6915
29,64.9277897,0.3085
30,63.92914201,0.4917
30,65.92603381,0.2773
30,67.92484455,0.1845
30,66.92712775,0.0404
30,69.9253192,0.0061
31,68.9255735,0.60108
31,70.92470258,0.39892
32,73.92117776,0.365
32,71.92207583,0.2745
32,69.92424875,0.2057
32,72.92345896,0.0775
32,75.92140273,0.0773
33,74.92159457,1
34,79.9165218,0.4961
34,77.91730928,0.2377
34,75.9192137,0.0937
34,81.916699499999993,0.0873
34,76.91991415,0.0763
34,73.92247593,0.0089
35,78.9183376,0.5069
35,80.9162897,0.4931
36,83.91149773,0.56987
36,85.91061063,0.17279
36,81.91348273,0.11593
36,82.91412716,0.115
36,79.91637808,0.02286
36,77.92036494,0.00355
37,84.91178974,0.7217
37,86.90918053,0.2783
38,87.9056125,0.8258
38,85.9092606,0.0986
38,86.9088775,0.07
38,83.9134191,0.0056
39,88.9058403,1
40,89.9046977,0.5145
40,93.9063108,0.1738
40,91.9050347,0.1715
40,90.9056396,0.1122
40,95.9082714,0.028
41,92.906373,1
42,97.90540482,0.2439
42,95.90467612,0.1667
42,94.90583877,0.1584
42,91.90680796,0.1453
42,99.9074718,0.0982
42,96.90601812,0.096
42,93.9050849,0.0915
44,101.9043441,0.3155
44,103.9054275,0.1862
44,100.9055769,0.1706
44,98.9059341,0.1276
44,99.9042143,0.126
44,95.90759025,0.0554
44,97.9052868,0.0187
