atomic_number,exact_mass,abundance
45,102.905498,1
46,105.9034804,0.2733
46,107.9038916,0.2646
46,104.9050796,0.2233
46,109.9051722,0.1172
46,103.9040305,0.1114
46,101.9056022,0.0102
47,106.9050916,0.51839
47,108.9047553,0.48161
48,113.9033651,0.2873
48,111.9027629,0.2413
48,110.9041829,0.128
48,109.9030066,0.1249
48,112.9044081,0.1222
48,115.9047632,0.0749
48,105.9064599,0.0125
48,107.9041834,0.0089
49,114.9038788,0.9571
49,112.9040618,0.0429
50,119.9022016,0.3258
50,117.9016066,0.2422
50,115.9017428,0.1454
50,118.9033112,0.0859
50,116.902954,0.0768
50,123.9052766,0.0579
50,121.9034438,0.0463
50,111.9048239,0.0097
50,113.9027827,0.0066
50,114.9033447,0.0034
51,120.903812,0.5721
51,122.9042132,0.4279
52,129.9062227,0.3408
52,127.9044613,0.3174
52,125.9033109,0.1884
52,124.9044299,0.0707
52,123.9028171,0.0474
52,121.9030435,0.0255
52,122.9042698,0.0089
52,119.9040593,9e-4
53,126.9044719,1
54,131.9041551,0.269086
54,128.9047809,0.264006
54,130.9050841,0.212324
54,133.9053947,0.104357
54,135.9072145,0.088573
54,129.9035093,0.04071
54,127.903531,0.019102
54,123.905892,9.52e-4
54,125.9042983,8.9e-4
55,132.905452,1
56,137.905247,0.71698
56,136.9058271,0.11232
56,135.9045757,0.07854
56,134.9056884,0.06592
56,133.9045082,0.02417
56,129.9063207,0.00106
56,131.9050611,0.00101
57,138.9063563,0.9991119
57,137.9071149,8.88e-4
58,139.9054431,0.8845
58,141.9092504,0.11114
58,137.905991,0.00251
58,135.90712920000001,0.00185
59,140.9076576,1
60,141.907729,0.27152
60,143.910093,0.23798
60,145.9131226,0.17189
60,142.90982,0.12174
60,144.9125793,0.08293
60,147.9168993,0.05756
60,149.9209022,0.05638
62,151.9197397,0.2675
62,153.9222169,0.2275
62,146.9149044,0.1499
62,148.9171921,0.1382
62,147.9148292,0.1124
62,149.9172829,0.0738
62,143.9120065,0.0307
63,152.921238,0.5219
63,150.9198578,0.4781
64,157.9241123,0.2484
64,159.9270624,0.2186
64,155.9221312,0.2047
64,156.9239686,0.1565
64,154.9226305,0.148
64,153.9208741,0.0218
64,151.9197995,0.002
65,158.9253547,1
66,163.9291819,0.2826
66,161.9268056,0.25475
66,162.9287383,0.24896
66,160.9269405,0.18889
66,159.9252046,0.02329
66,157.9244159,9.5e-4
66,155.9242847,5.6e-4
67,164.9303288,1
68,165.9302995,0.33503
68,167.9323767,0.26978
68,166.9320546,0.22869
68,169.9354702,0.1491
68,163.9292088,0.01601
68,161.9287884,0.00139
69,168.9342179,1
70,173.9388664,0.32026
70,171.9363859,0.2168
70,172.9382151,0.16103
70,170.9363302,0.1409
70,175.9425764,0.12996
70,169.9347664,0.02982
70,167.9338896,0.00123
71,174.9407752,0.97401
71,175.9426897,0.02599
72,179.946557,0.3508
72,177.9437058,0.2728
72,176.9432277,0.186
72,178.9458232,0.1362
72,175.9414076,0.0526
72,173.9400461,0.0016
73,180.9479958,0.9998799
73,179.9474648,1.2e-4
74,183.9509309,0.3064
74,185.9543628,0.2843
74,181.9482039,0.265
74,182.9502228,0.1431
74,179.9467108,0.0012
75,186.9557501,0.626
75,184.9529545,0.374
76,191.961477,0.4078
76,189.9584437,0.2626
76,188.9581442,0.1615
76,187.9558352,0.1324
76,186.9557474,0.0196
76,185.953835,0.0159
76,183.9524885,2e-4
77,192.9629216,0.627
77,190.9605893,0.373
78,194.9647917,0.3378
78,193.9626809,0.3286
78,195.9649521,0.2521
78,197.9678949,0.07356
78,191.9610387,0.00782
78,189.9599297,1.2e-4
79,196.9665688,1
80,201.9706434,0.2986
80,199.9683266,0.231
80,198.96828060000001,0.1687
80,200.9703028,0.1318
80,197.9667686,0.0997
80,203.973494,0.0687
80,195.9658326,0.0015
81,204.9744278,0.7048
81,202.9723446,0.2952
82,207.9766525,0.524
82,205.9744657,0.241
82,206.9758973,0.221
82,203.973044,0.014
83,208.9803991,1
90,232.0380558,1
91,231.0358842,1
92,238.0507884,0.992742
92,235.0439301,0.007204
92,234.0409523,5.4e-5
