id,name,acronym
1,higher energy collision-induced dissociation,HCD
2,collision-induced dissociation,CID
3,electron capture dissociation,ECD
4,electron transfer dissociation,ETC
5,pulsed Q collision-induced dissociation,PQD
6,hybrid ETC and CID,ETciD
7,hybrid ETC and HCD,EThcD
8,in-source fragmentation,ISF
