"peak_id","mslevel","correl","ph","freq","n","masserror","minerror"
1,1,0.5,10,10,17,5,0.002
1,2,0.5,10,10,15,5,0.002
2,1,0.5,10,10,16,5,0.002
2,2,0.5,10,10,15,5,0.002
3,1,0.5,10,10,17,5,0.002
3,2,0.5,10,10,16,5,0.002
4,1,0.5,10,10,17,5,0.002
4,2,0.5,10,10,17,5,0.002
5,1,0.5,10,10,18,5,0.002
5,2,0.5,10,10,18,5,0.002
6,1,0.5,10,10,19,5,0.002
6,2,0.5,10,10,18,5,0.002
7,1,0.5,10,10,19,5,0.002
7,2,0.5,10,10,19,5,0.002
8,1,0.5,10,10,19,5,0.002
8,2,0.5,10,10,19,5,0.002
9,1,0.5,10,10,19,5,0.002
9,2,0.5,10,10,19,5,0.002
10,1,0.5,10,10,23,5,0.002
10,2,0.5,10,10,16,5,0.002
11,1,0.5,10,10,16,5,0.002
11,2,0.5,10,10,14,5,0.002
12,1,0.5,10,10,16,5,0.002
12,2,0.5,10,10,15,5,0.002
13,1,0.5,10,10,17,5,0.002
13,2,0.5,10,10,16,5,0.002
14,1,0.5,10,10,18,5,0.002
14,2,0.5,10,10,17,5,0.002
15,1,0.5,10,10,18,5,0.002
15,2,0.5,10,10,17,5,0.002
16,1,0.5,10,10,18,5,0.002
16,2,0.5,10,10,18,5,0.002
17,1,0.5,10,10,19,5,0.002
17,2,0.5,10,10,19,5,0.002
18,1,0.5,10,10,19,5,0.002
18,2,0.5,10,10,18,5,0.002
19,1,0.5,10,10,19,5,0.002
19,2,0.5,10,10,19,5,0.002
20,1,0.5,10,10,23,5,0.002
20,2,0.5,10,10,16,5,0.002
21,1,0.5,10,10,17,5,0.002
21,2,0.5,10,10,17,5,0.002
22,1,0.5,10,10,18,5,0.002
22,2,0.5,10,10,18,5,0.002
23,1,0.5,10,10,28,5,0.002
23,2,0.5,10,10,28,5,0.002
24,1,0.5,10,10,18,5,0.002
24,2,0.5,10,10,18,5,0.002
25,1,0.5,10,10,27,5,0.002
25,2,0.5,10,10,24,5,0.002
26,1,0.5,10,10,19,5,0.002
26,2,0.5,10,10,19,5,0.002
27,1,0.5,10,10,21,5,0.002
27,2,0.5,10,10,18,5,0.002
28,1,0.5,10,10,17,5,0.002
28,2,0.5,10,10,17,5,0.002
29,1,0.5,10,10,17,5,0.002
29,2,0.5,10,10,17,5,0.002
30,1,0.5,10,10,28,5,0.002
30,2,0.5,10,10,28,5,0.002
31,1,0.5,10,10,19,5,0.002
31,2,0.5,10,10,19,5,0.002
32,1,0.5,10,10,26,5,0.002
32,2,0.5,10,10,26,5,0.002
33,1,0.5,10,10,19,5,0.002
33,2,0.5,10,10,19,5,0.002
34,1,0.5,10,10,21,5,0.002
34,2,0.5,10,10,17,5,0.002
35,1,0.5,10,10,17,5,0.002
35,2,0.5,10,10,17,5,0.002
36,1,0.5,10,10,18,5,0.002
36,2,0.5,10,10,18,5,0.002
37,1,0.5,10,10,27,5,0.002
37,2,0.5,10,10,27,5,0.002
38,1,0.5,10,10,19,5,0.002
38,2,0.5,10,10,19,5,0.002
39,1,0.5,10,10,28,5,0.002
39,2,0.5,10,10,25,5,0.002
40,1,0.5,10,10,19,5,0.002
40,2,0.5,10,10,19,5,0.002
41,1,0.5,10,10,20,5,0.002
41,2,0.5,10,10,19,5,0.002
42,1,0.5,10,10,21,5,0.002
42,2,0.5,10,10,21,5,0.002
43,1,0.5,10,10,25,5,0.002
43,2,0.5,10,10,24,5,0.002
44,1,0.5,10,10,17,5,0.002
44,2,0.5,10,10,15,5,0.002
45,1,0.5,10,10,20,5,0.002
45,2,0.5,10,10,20,5,0.002
46,1,0.5,10,10,21,5,0.002
46,2,0.5,10,10,21,5,0.002
47,1,0.5,10,10,26,5,0.002
47,2,0.5,10,10,23,5,0.002
48,1,0.5,10,10,19,5,0.002
48,2,0.5,10,10,15,5,0.002
49,1,0.5,10,10,20,5,0.002
49,2,0.5,10,10,20,5,0.002
50,1,0.5,10,10,20,5,0.002
50,2,0.5,10,10,20,5,0.002
51,1,0.5,10,10,24,5,0.002
51,2,0.5,10,10,22,5,0.002
52,1,0.5,10,10,18,5,0.002
52,2,0.5,10,10,15,5,0.002
53,1,0.5,10,10,21,5,0.002
53,2,0.5,10,10,20,5,0.002
54,1,0.5,10,10,20,5,0.002
54,2,0.5,10,10,14,5,0.002
55,1,0.5,10,10,20,5,0.002
55,2,0.5,10,10,14,5,0.002
56,1,0.5,10,10,20,5,0.002
56,2,0.5,10,10,14,5,0.002
57,1,0.5,10,10,19,5,0.002
57,2,0.5,10,10,19,5,0.002
58,1,0.5,10,10,18,5,0.002
58,2,0.5,10,10,18,5,0.002
59,1,0.5,10,10,19,5,0.002
59,2,0.5,10,10,19,5,0.002
60,1,0.5,10,10,19,5,0.002
60,2,0.5,10,10,19,5,0.002
61,1,0.5,10,10,19,5,0.002
61,2,0.5,10,10,19,5,0.002
62,1,0.5,10,10,19,5,0.002
62,2,0.5,10,10,18,5,0.002
63,1,0.5,10,10,19,5,0.002
63,2,0.5,10,10,18,5,0.002
64,1,0.5,10,10,19,5,0.002
64,2,0.5,10,10,19,5,0.002
65,1,0.5,10,10,19,5,0.002
65,2,0.5,10,10,18,5,0.002
66,1,0.5,10,10,18,5,0.002
66,2,0.5,10,10,18,5,0.002
67,1,0.5,10,10,18,5,0.002
67,2,0.5,10,10,18,5,0.002
68,1,0.5,10,10,19,5,0.002
68,2,0.5,10,10,19,5,0.002
69,1,0.2,0,10,71,5,0.002
69,2,-1,10,10,34,5,0.002
70,1,0.5,10,10,18,5,0.002
70,2,0.5,10,10,18,5,0.002
71,1,0.5,10,10,17,5,0.002
71,2,0.5,10,10,17,5,0.002
72,1,0.5,10,10,27,5,0.002
72,2,0.5,10,10,23,5,0.002
73,1,0.5,10,10,27,5,0.002
73,2,0.5,10,10,22,5,0.002
74,1,0.5,10,10,19,5,0.002
74,2,0.5,10,10,19,5,0.002
75,1,0.5,10,10,18,5,0.002
75,2,0.5,10,10,18,5,0.002
76,1,0.5,10,10,17,5,0.002
76,2,0.5,10,10,17,5,0.002
77,1,0.5,10,10,25,5,0.002
77,2,0.5,10,10,24,5,0.002
78,1,0.5,10,10,26,5,0.002
78,2,0.5,10,10,23,5,0.002
79,1,0.5,10,10,19,5,0.002
79,2,0.5,10,10,19,5,0.002
80,1,0.5,10,10,17,5,0.002
80,2,0.5,10,10,17,5,0.002
81,1,0.5,10,10,17,5,0.002
81,2,0.5,10,10,15,5,0.002
82,1,0.5,10,10,25,5,0.002
82,2,0.5,10,10,22,5,0.002
83,1,0.5,10,10,27,5,0.002
83,2,0.5,10,10,22,5,0.002
84,1,0.5,10,10,17,5,0.002
84,2,0.5,10,10,17,5,0.002
85,1,0.5,10,10,19,5,0.002
85,2,0.5,10,10,18,5,0.002
86,1,0.5,10,10,21,5,0.002
86,2,0.5,10,10,16,5,0.002
87,1,0.5,10,10,18,5,0.002
87,2,0.5,10,10,17,5,0.002
88,1,0.5,10,10,19,5,0.002
88,2,0.5,10,10,18,5,0.002
89,1,0.5,10,10,21,5,0.002
89,2,0.5,10,10,15,5,0.002
90,1,0.5,10,10,17,5,0.002
90,2,0.5,10,10,17,5,0.002
91,1,0.5,10,10,19,5,0.002
91,2,0.5,10,10,19,5,0.002
92,1,0.5,10,10,22,5,0.002
92,2,0.5,10,10,17,5,0.002
93,1,0.5,10,10,20,5,0.002
93,2,0.5,10,10,19,5,0.002
94,1,0.5,10,10,18,5,0.002
94,2,0.5,10,10,17,5,0.002
95,1,0.5,10,10,20,5,0.002
95,2,0.5,10,10,19,5,0.002
96,1,0.5,10,10,20,5,0.002
96,2,0.5,10,10,20,5,0.002
97,1,0.5,10,10,18,5,0.002
97,2,0.5,10,10,17,5,0.002
98,1,0.5,10,10,20,5,0.002
98,2,0.5,10,10,18,5,0.002
99,1,0.5,10,10,20,5,0.002
99,2,0.5,10,10,19,5,0.002
100,1,0.5,10,10,17,5,0.002
100,2,0.5,10,10,17,5,0.002
101,1,0.5,10,10,20,5,0.002
101,2,0.5,10,10,19,5,0.002
102,1,-1,10,10,17,6,0.01
102,2,-1,10,10,5,6,0.01
103,1,-1,10,10,11,6,0.01
103,2,-1,10,10,3,6,0.01
104,1,-1,10,10,19,6,0.01
104,2,-1,10,10,1,6,0.01
105,1,-1,10,10,13,6,0.01
105,2,-1,10,10,3,6,0.01
106,1,-1,10,10,37,6,0.01
106,2,-1,10,10,7,6,0.01
107,1,-1,10,10,18,6,0.01
107,2,-1,10,10,7,6,0.01
108,1,-1,10,10,32,6,0.01
108,2,-1,10,10,5,6,0.01
109,1,-1,10,10,41,6,0.01
109,2,-1,10,10,7,6,0.01
110,1,-1,10,10,26,6,0.01
110,2,-1,10,10,6,6,0.01
111,1,-1,10,10,34,6,0.01
111,2,-1,10,10,6,6,0.01
112,1,-1,10,10,37,6,0.01
112,2,-1,10,10,6,6,0.01
113,1,-1,10,10,18,6,0.01
113,2,-1,10,10,6,6,0.01
114,1,-1,10,10,52,6,0.01
114,2,-1,10,10,8,6,0.01
115,1,-1,10,10,45,6,0.01
115,2,-1,10,10,9,6,0.01
116,1,-1,10,10,45,6,0.01
116,2,-1,10,10,9,6,0.01
117,1,-1,10,10,27,6,0.01
117,2,-1,10,10,6,6,0.01
118,1,-1,10,10,40,6,0.01
118,2,-1,10,10,8,6,0.01
119,1,-1,10,10,34,6,0.01
119,2,-1,10,10,6,6,0.01
120,1,-1,10,10,35,6,0.01
120,2,-1,10,10,5,6,0.01
121,1,-1,10,10,32,6,0.01
121,2,-1,10,10,5,6,0.01
122,1,-1,10,10,41,6,0.01
122,2,-1,10,10,8,6,0.01
123,1,-1,10,10,36,6,0.01
123,2,-1,10,10,7,6,0.01
124,1,-1,10,10,43,6,0.01
124,2,-1,10,10,8,6,0.01
125,1,-1,10,10,38,6,0.01
125,2,-1,10,10,6,6,0.01
126,1,-1,10,10,33,6,0.01
126,2,-1,10,10,8,6,0.01
127,1,-1,10,10,37,6,0.01
127,2,-1,10,10,7,6,0.01
128,1,-1,10,10,24,6,0.01
128,2,-1,10,10,7,6,0.01
129,1,-1,10,10,41,6,0.01
129,2,-1,10,10,7,6,0.01
130,1,-1,10,10,37,6,0.01
130,2,-1,10,10,9,6,0.01
131,1,-1,10,10,43,6,0.01
131,2,-1,10,10,8,6,0.01
132,1,-1,10,10,37,6,0.01
132,2,-1,10,10,7,6,0.01
133,1,-1,10,10,19,6,0.01
133,2,-1,10,10,3,6,0.01
134,1,-1,10,10,15,6,0.01
134,2,-1,10,10,2,6,0.01
137,1,-1,10,10,13,6,0.01
137,2,-1,10,10,2,6,0.01
138,1,-1,10,10,17,6,0.01
138,2,-1,10,10,4,6,0.01
139,1,-1,10,10,40,6,0.01
139,2,-1,10,10,8,6,0.01
140,1,-1,10,10,10,6,0.01
140,2,-1,10,10,2,6,0.01
141,1,-1,10,10,17,6,0.01
141,2,-1,10,10,5,6,0.01
142,1,-1,10,10,14,6,0.01
142,2,-1,10,10,3,6,0.01
143,1,-1,10,10,13,6,0.01
143,2,-1,10,10,4,6,0.01
144,1,-1,10,10,11,6,0.01
144,2,-1,10,10,2,6,0.01
145,1,-1,10,10,37,6,0.01
145,2,-1,10,10,7,6,0.01
146,1,-1,10,10,23,6,0.01
146,2,-1,10,10,3,6,0.01
147,1,-1,10,10,32,6,0.01
147,2,-1,10,10,8,6,0.01
148,1,-1,10,10,20,6,0.01
148,2,-1,10,10,4,6,0.01
149,1,-1,10,10,32,6,0.01
149,2,-1,10,10,7,6,0.01
150,1,-1,10,10,27,6,0.01
150,2,-1,10,10,6,6,0.01
151,1,-1,10,10,41,6,0.01
151,2,-1,10,10,9,6,0.01
152,1,-1,10,10,10,6,0.01
152,2,-1,10,10,2,6,0.01
153,1,-1,10,10,17,6,0.01
153,2,-1,10,10,4,6,0.01
154,1,-1,10,10,30,6,0.01
154,2,-1,10,10,5,6,0.01
155,1,-1,10,10,19,6,0.01
155,2,-1,10,10,4,6,0.01
156,1,-1,10,10,28,6,0.01
156,2,-1,10,10,9,6,0.01
157,1,-1,10,10,34,6,0.01
157,2,-1,10,10,6,6,0.01
158,1,-1,10,10,66,6,0.01
158,2,-1,10,10,15,6,0.01
159,1,-1,10,10,51,6,0.01
159,2,-1,10,10,13,6,0.01
160,1,-1,10,10,99,6,0.01
160,2,-1,10,10,34,6,0.01
161,1,-1,10,10,57,6,0.01
161,2,-1,10,10,17,6,0.01
162,1,-1,10,10,67,6,0.01
162,2,-1,10,10,21,6,0.01
163,1,-1,10,10,47,6,0.01
163,2,-1,10,10,11,6,0.01
164,1,-1,10,10,42,6,0.01
164,2,-1,10,10,8,6,0.01
165,1,-1,10,10,23,6,0.01
165,2,-1,10,10,3,6,0.01
166,1,-1,10,10,32,6,0.01
166,2,-1,10,10,7,6,0.01
167,1,-1,10,10,51,6,0.01
167,2,-1,10,10,11,6,0.01
168,1,-1,10,10,36,6,0.01
168,2,-1,10,10,5,6,0.01
169,1,-1,10,10,30,6,0.01
169,2,-1,10,10,7,6,0.01
170,1,-1,10,10,130,6,0.01
170,2,-1,10,10,16,6,0.01
171,1,-1,10,10,50,6,0.01
171,2,-1,10,10,9,6,0.01
172,1,-1,10,10,55,6,0.01
172,2,-1,10,10,12,6,0.01
173,1,-1,10,10,48,6,0.01
173,2,-1,10,10,10,6,0.01
174,1,-1,10,10,18,6,0.01
174,2,-1,10,10,5,6,0.01
175,1,-1,10,10,38,6,0.01
175,2,-1,10,10,12,6,0.01
176,1,-1,10,10,20,6,0.01
176,2,-1,10,10,5,6,0.01
177,1,-1,10,10,22,6,0.01
177,2,-1,10,10,4,6,0.01
178,1,-1,10,10,36,6,0.01
178,2,-1,10,10,8,6,0.01
179,1,-1,10,10,50,6,0.01
179,2,-1,10,10,12,6,0.01
180,1,-1,10,10,47,6,0.01
180,2,-1,10,10,10,6,0.01
181,1,-1,10,10,40,6,0.01
181,2,-1,10,10,4,6,0.01
182,1,-1,10,10,32,6,0.01
182,2,-1,10,10,10,6,0.01
183,1,-1,10,10,25,6,0.01
183,2,-1,10,10,7,6,0.01
184,1,-1,10,10,31,6,0.01
184,2,-1,10,10,8,6,0.01
185,1,-1,10,10,49,6,0.01
185,2,-1,10,10,12,6,0.01
186,1,-1,10,10,85,6,0.01
186,2,-1,10,10,27,6,0.01
187,1,-1,10,10,47,6,0.01
187,2,-1,10,10,9,6,0.01
188,1,0.5,0,10,36,6,0.01
188,2,0.5,0,10,8,6,0.01
189,1,-1,10,10,22,6,0.01
189,2,-1,10,10,8,6,0.01
190,1,-1,10,10,18,6,0.01
190,2,-1,10,10,3,6,0.01
191,1,-1,10,10,63,6,0.01
191,2,-1,10,10,11,6,0.01
192,1,-1,10,10,20,6,0.01
192,2,-1,10,10,3,6,0.01
193,1,-1,10,10,34,6,0.01
193,2,-1,10,10,8,6,0.01
194,1,-1,10,10,44,6,0.01
194,2,-1,10,10,8,6,0.01
195,1,-1,10,10,36,6,0.01
195,2,-1,10,10,4,6,0.01
196,1,-1,10,10,48,6,0.01
196,2,-1,10,10,12,6,0.01
197,1,-1,10,10,84,6,0.01
197,2,-1,10,10,20,6,0.01
198,1,-1,10,10,51,6,0.01
198,2,-1,10,10,9,6,0.01
199,1,-1,10,10,48,6,0.01
199,2,-1,10,10,12,6,0.01
200,1,-1,10,10,36,6,0.01
200,2,-1,10,10,10,6,0.01
201,1,-1,10,10,36,6,0.01
201,2,-1,10,10,6,6,0.01
202,1,-1,10,10,24,6,0.01
202,2,-1,10,10,4,6,0.01
203,1,-1,10,10,55,6,0.01
203,2,-1,10,10,12,6,0.01
204,1,-1,10,10,18,6,0.01
204,2,-1,10,10,5,6,0.01
205,1,-1,10,1,60,6,0.01
205,2,-1,10,9,11,6,0.01
206,1,-1,10,1,55,6,0.01
206,2,-1,10,10,7,6,0.01
207,1,-1,10,2,40,6,0.01
207,2,-1,10,10,7,6,0.01
208,1,-1,10,2,50,6,0.01
208,2,-1,10,10,6,6,0.01
209,1,-1,10,1,68,6,0.01
209,2,-1,10,5,20,6,0.01
210,1,-1,10,1,63,6,0.01
210,2,-1,10,6,15,6,0.01
211,1,-1,10,1,59,6,0.01
211,2,-1,10,9,11,6,0.01
212,1,-1,10,2,44,6,0.01
212,2,-1,10,10,10,6,0.01
213,1,-1,10,2,40,6,0.01
213,2,-1,10,10,6,6,0.01
214,1,-1,10,1,59,6,0.01
214,2,-1,10,8,12,6,0.01
215,1,-1,10,1,53,6,0.01
215,2,-1,10,10,8,6,0.01
216,1,-1,10,3,28,6,0.01
216,2,-1,10,10,6,6,0.01
217,1,-1,10,6,16,6,0.01
217,2,-1,10,10,3,6,0.01
218,1,-1,10,1,72,6,0.01
218,2,-1,10,4,22,6,0.01
219,1,-1,10,3,31,6,0.01
219,2,-1,10,10,7,6,0.01
220,1,-1,10,2,44,6,0.01
220,2,-1,10,7,14,6,0.01
221,1,-1,10,4,21,6,0.01
221,2,-1,10,10,4,6,0.01
222,1,-1,10,6,16,6,0.01
222,2,-1,10,10,5,6,0.01
223,1,-1,10,1,62,6,0.01
223,2,-1,10,8,12,6,0.01
224,1,-1,10,5,18,6,0.01
224,2,-1,10,10,6,6,0.01
225,1,-1,10,6,15,6,0.01
225,2,-1,10,10,3,6,0.01
226,1,-1,10,4,22,6,0.01
226,2,-1,10,10,4,6,0.01
227,1,-1,10,3,27,6,0.01
227,2,-1,10,10,5,6,0.01
228,1,-1,10,6,15,6,0.01
228,2,-1,10,10,2,6,0.01
229,1,-1,10,1,69,6,0.01
229,2,-1,10,5,19,6,0.01
230,1,-1,10,3,29,6,0.01
230,2,-1,10,10,6,6,0.01
231,1,-1,10,2,44,6,0.01
231,2,-1,10,10,10,6,0.01
232,1,-1,10,5,20,6,0.01
232,2,-1,10,10,4,6,0.01
233,1,-1,10,7,14,6,0.01
233,2,-1,10,10,3,6,0.01
234,1,-1,10,7,14,6,0.01
234,2,-1,10,10,4,6,0.01
235,1,-1,10,6,16,6,0.01
235,2,-1,10,10,3,6,0.01
236,1,-1,10,1,95,6,0.01
236,2,-1,10,5,19,6,0.01
