"id","category","name","obtained_from","source_type","additional","local_positive","local_negative","formula","fixedmass","netcharge","inspected_by","inspected_on"
1,2,"1H-Perfluoro-3,3-bis(trifluoromethyl)hexyne",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID60893374;DTXCID:DTXCID801323380;CASRN:261503-44-0,0,0,C8HF13,343.9870669,0,,
2,2,Bis(heneicosafluorodecyl)phosphinic acid,https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID70881308;DTXCID:DTXCID801022566;CASRN:52299-27-1,0,0,C20H9F34O2P,957.9797256,0,,
3,2,Tris(2-(perfluorododecyl)ethyl)phosphate,https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID50893500;DTXCID:DTXCID901323614;CASRN:393098-42-5,0,0,C42H12F75O4P,2035.927562,0,,
4,2,"2-Chloro-2-propenoic acid 3,3,4,4,5,5,6,6,6-nonafluorohexyl ester",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID10893405;DTXCID:DTXCID501323412;CASRN:701909-41-3,0,0,C9H6ClF9O2,351.9912611,0,,
5,2,"Bicyclo[2.2.1]hept-2-ene, 5,5,6-trifluoro-6-(heptafluoropropoxy)-",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID40338359;DTXCID:DTXCID50289444;CASRN:154717-36-9,0,0,C10H6F10O,332.025897,0,,
6,2,"3,3,4-Trifluoro-4-(heptafluoropropoxy)tricyclo[4.2.1.0~2,5~]non-7-ene",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID00610941;DTXCID:DTXCID50561696;CASRN:262617-19-6,0,0,C12H8F10O,358.0415471,0,,
7,2,"5-(Nonafluorobutyl)bicyclo[2.2.1]hept-2-ene",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID60554473;DTXCID:DTXCID90505256;CASRN:118777-97-2,0,0,C11H9F9,312.0560543,0,,
8,2,"3-(Heptafluorobutyryl)camphor",https://comptox.epa.gov/dashboard,1,,0,0,C14H15F7O2,348.0960273,0,,
9,2,Perfluorobutylsulfonamide,https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID30880251;DTXCID:DTXCID101021836;CASRN:30334-69-1,0,0,C4H2F9NO2S,298.9662533,0,,
10,2,"N-(3,4-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID20881333;DTXCID:DTXCID501022581;CASRN:106376-37-8,0,0,C10H4Cl2F7NO,356.9558166,0,,
11,2,"N-(3,5-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID80881334;DTXCID:DTXCID201022582;CASRN:106376-38-9,0,0,C10H4Cl2F7NO,356.9558166,0,,
12,2,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID30880599;DTXCID:DTXCID001021976;CASRN:68298-72-6,0,0,C28H28F17N3O8S,889.1325656,0,,
13,2,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID40880601;DTXCID:DTXCID701021977;CASRN:68298-73-7,0,0,C27H28F15N3O8S,839.1357592,0,,
14,2,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID20880604;DTXCID:DTXCID101021979;CASRN:68298-74-8,0,0,C26H28F13N3O8S,789.1389527,0,,
15,2,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",https://comptox.epa.gov/dashboard,1,DTXSID:DTXSID80880605;DTXCID:DTXCID401021980;CASRN:68298-75-9,0,0,C25H28F11N3O8S,739.1421463,0,,
