"id","name"
1,"analytical standard"
2,"aqueous film-forming foam (AFFF)"
3,"solution reference material"
4,"groundwater / surface water"
5,"soil/sediment"
6,"matrix reference material"
7,"drinking water"
8,"commercial formulation"
9,"landfill leachate"
10,"industrial effluent"
11,"non-human biological material"
12,"human biological material"
13,"food"
14,"textile"
15,"other"
